Scheme Name;Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW;112.4688
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW;114.7351
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW;111.4602
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW;159.1071
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW;111.41
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW;108.338
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW;111.2687
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW;111.0934
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth;314.929
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth;472.749
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth;324.594
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option;1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW;1039.1011
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option;2330.0974
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW;1035.1600
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW;1038.6708
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option;1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW;1039.0263
Axis Banking & PSU Debt Fund - Regular Plan - Growth option;2272.7304
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW;1034.9709
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW;1038.5777
BANDHAN Banking & PSU Debt Fund - Direct Annual IDCW;12.1434
BANDHAN Banking & PSU Debt Fund - Direct Daily IDCW;10.4767
BANDHAN Banking & PSU Debt Fund - Direct Fortnightly IDCW;10.4547
BANDHAN Banking & PSU Debt Fund - Direct Growth;21.7588
BANDHAN Banking & PSU Debt Fund - Direct IDCW;11.4462
BANDHAN Banking & PSU Debt Fund - Direct Monthly IDCW;10.4450
BANDHAN Banking & PSU Debt Fund - Direct Quarterly IDCW;10.9036
BANDHAN Banking & PSU Debt Fund - Regular Annual IDCW;11.1888
BANDHAN Banking & PSU Debt Fund - Regular Daily IDCW;10.8779
BANDHAN Banking & PSU Debt Fund - Regular Fortnightly IDCW;10.6097
BANDHAN Banking & PSU Debt Fund - Regular Growth;21.2728
BANDHAN Banking & PSU Debt Fund - Regular IDCW;11.4873
BANDHAN Banking & PSU Debt Fund - Regular Monthly IDCW;10.6880
BANDHAN Banking & PSU Debt Fund - Regular Quarterly IDCW;10.8081
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option;10.2057
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option;11.0074
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option;10.3838
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option;10.8946
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option;10.1692
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option;10.2782
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option;10.4983
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout;10.4980
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option;10.4742
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment);10.4742
DSP Banking & PSU Debt Fund - Direct Plan - Growth;21.2401
DSP Banking & PSU Debt Fund - Direct Plan - IDCW;10.4014
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest;10.1600
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly;10.2406
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ;10.4007
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly;10.1612
DSP Banking & PSU Debt Fund - Regular Plan - Growth;20.6253
DSP Banking & PSU Debt Fund - Regular Plan - IDCW;10.3949
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest;10.1597
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly;10.2329
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ;10.3943
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly;10.1612
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option;21.8658
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option;18.3935
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option;14.5644
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option;10.9193
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option;10.5442
